id,city,country,region,short_description,budget_level,master_travel_score,rank_overall,data_sources,source_count,climate_zone,climate_avg_temp_c,climate_source,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,composite_score,ideal_weekend,ideal_short_trip,ideal_one_week,ideal_long_trip,meteo_avg_temp_c,meteo_annual_precip_mm,meteo_avg_daily_sun_h,meteo_avg_comfort,meteo_best_comfort_month,meteo_wet_months,meteo_cold_months,meteo_hot_months,image_score,image_count,avg_text_quality,avg_colorfulness,avg_brightness,avg_contrast,avg_attractiveness,col_cost_of_living_index,col_rent_index,col_groceries_index,col_restaurant_index,col_purchasing_power_index,col_affordability_tier,col_value_score
8221d5a5-e813-4993-9bf6-c2bac26d0cb8,Rio de Janeiro,Brazil,south_america,"Vibrant streets pulse with samba rhythms, stunning beaches meet lush mountains, and every corner offers a burst of color and life.",Mid-range,8.38,1,climate|visual|cost|wtc_ratings,4,Tropical/Hot,24.38,meteostat,4,4,5,5,5,4,3,4,2,4.0,False,True,True,False,24.38,1391.0,,9.17,8.0,9.0,0.0,4.0,34.8,1.0,3.0,31.448,107.246,64.327,3.72,33.24,8.27,28.16,25.24,27.85,Budget,0.838
2f634211-0161-41dc-b871-3d405b1b3975,Lisbon,Portugal,europe,"Hillside streets alive with music, pastel-colored buildings, sunlit plazas, and the scent of fresh pastries give this city an irresistible warmth.",Mid-range,8.22,2,climate|visual|cost|wtc_ratings,4,Warm/Mediterranean,17.42,meteostat,5,3,3,3,4,5,3,4,2,3.56,True,True,True,False,17.42,10204.4,7.95,9.12,4.0,83.0,0.0,0.0,100.0,1.0,6.0,55.786,137.941,77.988,5.957,47.94,20.73,39.01,40.26,46.8,Mid-range,0.976
5c470d58-5ad9-4aaa-903b-fa9a2bed3c68,Dubai,United Arab Emirates,middle_east,"Skyscrapers glisten under the sun, luxury blends with tradition, and the aroma of spices fills the air, creating a uniquely vibrant experience.",Luxury,7.95,3,climate|visual|cost|wtc_ratings,4,Tropical/Hot,28.07,meteostat,4,4,2,4,5,4,5,5,2,3.89,False,True,True,False,28.07,129.9,,7.85,3.0,14.0,0.0,31.0,69.6,2.0,3.5,102.741,133.749,57.24,4.912,58.33,43.28,46.67,61.53,92.17,Mid-range,1.58
2e1f1b6c-cf05-4393-b747-151592f27e7a,Cancun,Mexico,north_america,"Powdery white sand beaches, turquoise waters, and lively nightlife create a vibrant atmosphere perfect for both relaxation and adventure.",Mid-range,7.8,4,climate|visual|cost|wtc_ratings,4,Tropical/Hot,26.41,meteostat,3,4,3,5,5,4,4,3,2,3.67,True,True,True,False,26.41,1589.6,,8.58,1.0,9.0,0.0,23.0,52.8,6.0,4.667,43.293,106.189,60.828,4.338,35.35,12.55,34.82,32.67,38.62,Mid-range,1.093
7aed9c1b-6faa-4177-aea9-2c32c6ca34f9,Florianópolis,Brazil,south_america,"A blend of vibrant beaches, lush greenery, and lively markets creates a laid-back yet energetic vibe perfect for unwinding and exploring.",Mid-range,7.76,5,climate|cost|wtc_ratings,3,Warm/Mediterranean,21.56,meteostat,3,4,5,5,4,4,3,4,3,3.89,True,True,True,False,21.56,17153.0,5.58,9.66,4.0,60.0,0.0,0.0,,,,,,,,33.24,8.27,28.16,25.24,27.85,Budget,0.838
1d7edb41-df70-4877-ac88-c1baaa72b923,Crete,Greece,europe,"Sun-drenched beaches, ancient ruins, and vibrant local markets create a tapestry of experiences that feel both timeless and refreshingly alive.",Mid-range,7.74,6,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.03,meteostat,4,4,5,5,3,5,4,3,4,4.11,False,True,True,True,19.03,9891.0,7.91,9.25,4.0,84.0,4.0,9.0,,,,,,,,56.22,12.68,44.73,52.19,39.73,Mid-range,0.707
59358844-732e-44cc-8fc8-fd7266474a8f,Mexico City,Mexico,north_america,"Vibrant streets teeming with life, colorful markets, and the aroma of street food create an eclectic and exhilarating urban experience.",Mid-range,7.71,7,climate|visual|cost|wtc_ratings,4,Temperate,15.9,meteostat,5,3,3,1,5,5,3,5,2,3.56,False,True,True,True,15.9,2838.8,5.38,7.95,4.0,19.0,0.0,0.0,71.6,1.0,7.0,53.058,76.945,57.445,4.984,35.35,12.55,34.82,32.67,38.62,Mid-range,1.093
0c2f27fb-d5ed-4047-a16e-05fb872fe7b3,Macau,China,asia,"A unique blend of Portuguese heritage and vibrant Chinese culture, with bustling streets, aromatic food stalls, and dazzling casino lights.",Mid-range,7.66,8,climate|visual|cost|wtc_ratings,4,Warm/Mediterranean,22.85,meteostat,4,3,2,2,5,4,3,5,2,3.33,True,True,True,False,22.85,26809.0,4.86,9.03,10.0,83.0,0.0,30.0,87.3,2.0,5.5,53.804,109.188,75.25,5.522,41.77,16.53,46.01,28.37,59.99,Mid-range,1.436
40236b15-2f9a-482a-8454-72ebd9dfed1b,Santa Marta,Colombia,south_america,"Golden beaches meet lush mountains, creating a laid-back vibe where you can savor fresh seafood and vibrant sunsets by the sea.",Budget,7.62,9,climate|cost|wtc_ratings,3,Tropical/Hot,28.98,meteostat,4,4,5,4,3,4,3,3,4,3.78,True,True,True,False,28.98,8663.0,7.55,9.57,1.0,83.0,0.0,144.0,,,,,,,,26.72,8.18,23.47,19.44,28.85,Budget,1.08
933a8b39-e129-41f3-b6ab-3f58d695536b,Cape Town,South Africa,africa,"A vibrant coastal city surrounded by rugged mountains and pristine beaches, offering laid-back afternoons, diverse cultures, and breathtaking views.",Mid-range,7.62,10,climate|cost|wtc_ratings,3,Warm/Mediterranean,17.44,meteostat,4,4,5,4,4,4,3,4,3,3.89,False,True,True,True,17.44,6063.5,8.6,9.65,1.0,84.0,0.0,0.0,,,,,,,,42.09,16.6,34.78,41.33,78.36,Mid-range,1.862
a7573be8-bfc0-479c-9baa-7d824d1f9315,Honolulu,United States,oceania,"Golden beaches meet vibrant city life, where the scent of plumeria and the sounds of ukulele create a laid-back, tropical vibe.",Luxury,7.6,11,climate|visual|cost|wtc_ratings,4,Tropical/Hot,25.69,meteostat,4,4,5,5,4,4,4,4,2,4.0,False,True,True,True,25.69,5889.8,,8.72,1.0,83.0,0.0,11.0,29.3,1.0,3.0,37.974,156.552,61.433,3.531,70.13,42.07,70.37,70.07,106.34,Expensive,1.516
969d48bd-820e-41da-baef-370028e33139,Los Cabos,Mexico,north_america,"Golden beaches meet the azure sea, with vibrant nightlife and serene desert landscapes offering a captivating blend of relaxation and adventure.",Mid-range,7.56,12,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.43,meteostat,3,4,4,5,4,4,4,3,3,3.78,True,True,True,False,19.43,10641.0,6.68,9.87,3.0,84.0,0.0,0.0,,,,,,,,35.35,12.55,34.82,32.67,38.62,Mid-range,1.093
80ed0bdd-62c4-4068-88c6-3eba6e3c4e46,Puerto Vallarta,Mexico,north_america,"Golden beaches meet the lush Sierra Madre mountains, creating a vibrant yet laid-back atmosphere filled with colorful markets and lively nightlife.",Mid-range,7.56,13,climate|cost|wtc_ratings,3,Warm/Mediterranean,22.6,meteostat,3,4,4,5,4,4,4,3,3,3.78,True,True,True,False,22.6,16687.0,7.86,9.88,1.0,84.0,0.0,0.0,,,,,,,,35.35,12.55,34.82,32.67,38.62,Mid-range,1.093
37247be1-606e-4142-a129-bf5d3efbd197,Istanbul,Turkey,europe,"A captivating blend of East and West, with vibrant bazaars, aromatic spices, historic mosques, and the serene Bosphorus weaving through daily life.",Mid-range,7.53,14,climate|visual|cost|wtc_ratings,4,Temperate,15.94,meteostat,5,3,3,2,4,5,3,5,2,3.56,False,True,True,True,15.94,2647.5,6.84,8.32,5.0,24.0,15.0,0.0,46.0,4.0,5.0,50.015,138.807,53.36,4.104,28.31,6.63,22.64,18.4,32.88,Budget,1.161
cfa715d4-a4bc-4098-a4a0-4f1908b7d31e,Antalya,Turkey,asia,"Sun-drenched beaches meet ancient ruins and bustling bazaars, offering a blend of relaxation and cultural exploration in a picturesque coastal setting.",Mid-range,7.52,15,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.93,meteostat,4,4,4,5,4,4,4,3,3,3.89,False,True,True,False,19.93,12600.0,6.58,8.4,4.0,84.0,5.0,27.0,,,,,,,,28.31,6.63,22.64,18.4,32.88,Budget,1.161
89e1f300-6ffd-4c18-a700-c9815dcdad84,Zanzibar,Tanzania,africa,"White sandy beaches, turquoise waters, and the scent of spices fill the air, creating an enchanting and laid-back island vibe.",Mid-range,7.48,16,climate|cost|wtc_ratings,3,Tropical/Hot,27.13,meteostat,4,4,5,5,3,4,4,2,4,3.89,False,True,True,True,27.13,2700.6,8.64,8.52,9.0,12.0,0.0,45.0,,,,,,,,32.81,12.36,30.04,24.86,15.97,Budget,0.487
456e0998-8b34-4b5a-8898-fdd801f472a4,Tulum,Mexico,north_america,"Pristine beaches with turquoise waters meet ancient ruins and vibrant jungle, creating an inviting blend of relaxation and adventure.",Mid-range,7.43,17,climate|cost|wtc_ratings,3,Tropical/Hot,26.67,meteostat,3,4,4,5,3,4,5,2,4,3.78,True,True,True,False,26.67,18893.0,7.71,9.35,2.0,84.0,0.0,46.0,,,,,,,,35.35,12.55,34.82,32.67,38.62,Mid-range,1.093
d1bd5b72-0b5f-4968-98c8-c7433fc121e3,Goa,India,asia,"Golden beaches stretch endlessly alongside vibrant markets and aromatic spice-scented air, offering a perfect blend of relaxation and lively culture.",Mid-range,7.38,18,climate|cost|wtc_ratings,3,Tropical/Hot,27.9,meteostat,4,4,3,5,5,4,3,3,3,3.78,True,True,True,False,27.9,43772.5,6.67,8.48,1.0,83.0,0.0,63.0,,,,,,,,24.43,5.3,26.43,17.56,49.72,Budget,2.035
2f3a6926-553f-4d7a-acf8-5b17af6f2e93,Colombo,Sri Lanka,asia,"Lively streets filled with the aroma of spices, historic temples, and a coastal breeze create a vibrant and welcoming atmosphere.",Budget,7.36,19,climate|visual|cost|wtc_ratings,4,Tropical/Hot,28.12,meteostat,4,3,3,3,3,4,3,4,2,3.22,True,True,True,False,28.12,35752.0,6.83,8.87,2.0,84.0,0.0,90.0,73.5,1.0,5.0,91.39,151.039,58.333,5.047,31.29,8.23,37.67,17.27,19.27,Budget,0.616
2fdfc5be-fe93-4c81-8a14-a0f17ca22b60,Salvador da Bahia,Brazil,south_america,"Lively streets filled with music and dance, vibrant markets, and stunning coastal views create an energetic yet laid-back atmosphere.",Mid-range,7.29,20,climate|cost|wtc_ratings,3,Tropical/Hot,27.05,meteostat,5,3,4,4,4,5,3,3,2,3.67,True,True,True,False,27.05,9202.8,8.56,9.56,1.0,84.0,0.0,44.0,,,,,,,,33.24,8.27,28.16,25.24,27.85,Budget,0.838
c7b3c669-a693-485a-96ec-6b1147b80d11,Budapest,Hungary,europe,"Charming streets lined with historic architecture and lively ruin bars create a welcoming vibe, where tradition meets a vibrant, modern energy.",Mid-range,7.21,21,climate|visual|cost|wtc_ratings,4,Temperate,12.08,meteostat,5,3,3,1,5,4,5,4,2,3.56,True,True,True,False,12.08,8562.0,6.47,7.82,6.0,83.0,72.0,0.0,46.4,1.0,3.0,59.627,148.102,65.8,4.117,40.66,11.91,35.19,32.82,51.98,Mid-range,1.278
623961cc-5553-4afa-842e-4af31b2a305c,Mumbai,India,asia,"A bustling metropolis where vibrant street life, aromatic food stalls, and historic landmarks blend with a dynamic energy that never sleeps.",Mid-range,7.2,22,climate|visual|cost|wtc_ratings,4,Tropical/Hot,28.29,meteostat,5,3,2,3,4,5,3,5,1,3.44,False,True,True,False,28.29,25651.8,,7.0,1.0,22.0,0.0,64.0,57.3,1.0,4.0,64.437,102.733,59.796,4.491,24.43,5.3,26.43,17.56,49.72,Budget,2.035
12bac5cc-d5e5-4418-aec5-2805cfe04257,Madeira,Portugal,europe,"Lush landscapes meet dramatic cliffs, where ocean breezes carry the scent of flowers and adventure awaits around every winding path.",Mid-range,7.15,23,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.9,meteostat,3,4,5,3,3,4,4,3,4,3.67,False,True,True,False,19.9,8097.5,6.61,9.92,4.0,84.0,0.0,0.0,,,,,,,,47.94,20.73,39.01,40.26,46.8,Mid-range,0.976
9df51067-3c5a-43b1-adad-bcd6778f096c,Funchal,Portugal,europe,"Charming cobblestone streets lined with vibrant flowers, ocean breezes, and the aroma of local cuisine create a welcoming and relaxed atmosphere.",Mid-range,7.15,24,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.9,meteostat,4,3,5,3,3,4,4,3,4,3.67,True,True,True,False,19.9,8097.5,6.61,9.92,4.0,84.0,0.0,0.0,,,,,,,,47.94,20.73,39.01,40.26,46.8,Mid-range,0.976
968021b5-7a8a-4e1e-bd31-574dd60a9975,San Diego,United States,north_america,"Sun-drenched beaches, vibrant neighborhoods, and an easygoing vibe invite you to savor ocean breezes and explore diverse, lively cultural spots.",Mid-range,7.15,25,climate|cost|wtc_ratings,3,Warm/Mediterranean,18.36,meteostat,4,4,4,5,4,4,4,4,3,4.0,True,True,True,False,18.36,3399.0,,8.69,8.0,82.0,0.0,0.0,,,,,,,,70.13,42.07,70.37,70.07,106.34,Expensive,1.516
497a30a0-cdd6-4336-99f3-481f08fcce76,Sardinia,Italy,europe,"Crystal-clear waters, rugged coastlines, and charming villages create a serene escape where you can unwind and savor local flavors.",Mid-range,7.15,26,climate|cost|wtc_ratings,3,Warm/Mediterranean,18.04,meteostat,3,4,5,5,3,4,4,3,4,3.89,False,True,True,True,18.04,5626.0,7.38,9.34,7.0,81.0,7.0,0.0,,,,,,,,66.47,20.55,57.95,70.58,61.74,Expensive,0.929
3c6506e6-c494-4622-aba3-2ba895530c7a,Barcelona,Spain,europe,"Vibrant streets filled with Gaudí's whimsical architecture, lively tapas bars, and the warm Mediterranean breeze create an inviting and dynamic atmosphere.",Mid-range,7.15,27,climate|cost|wtc_ratings,3,Warm/Mediterranean,17.35,meteostat,5,3,3,4,5,5,3,5,2,3.89,False,True,True,False,17.35,7330.0,6.17,8.54,4.0,83.0,16.0,1.0,,,,,,,,53.88,21.25,45.69,53.96,70.04,Mid-range,1.3
784d64bc-ad12-4648-8094-07151548001d,Vienna,Austria,europe,"Grand architecture and cobblestone streets set a charming backdrop for cozy coffeehouses and vibrant cultural scenes, inviting leisurely exploration.",Mid-range,7.14,28,climate|visual|cost|wtc_ratings,4,Temperate,11.62,meteostat,5,2,3,1,4,5,4,5,2,3.44,True,True,True,False,11.62,9313.0,5.71,7.71,6.0,81.0,76.0,0.0,90.2,1.0,4.0,122.555,132.024,55.094,5.621,71.04,27.13,65.88,66.03,77.25,Expensive,1.087
1d32dfff-864b-4298-8be7-1f9714936244,Hong Kong,Hong Kong,asia,"A bustling metropolis where neon lights reflect off harbor waters, offering a vibrant mix of street markets, towering skyscrapers, and serene parks.",Luxury,7.13,29,climate|visual|cost|wtc_ratings,4,Warm/Mediterranean,23.45,meteostat,5,3,3,2,5,5,3,5,2,3.67,False,True,True,False,23.45,32563.0,5.07,8.97,3.0,84.0,0.0,43.0,49.3,6.0,3.667,81.124,109.412,53.607,4.216,80.71,74.57,84.72,58.58,65.74,Expensive,0.815
