Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,has_complete_indices,affordability_tier,value_score
1,Afghanistan,20.37,2.72,12.09,14.92,12.41,23.04,True,Budget,1.131
2,Albania,35.5,8.47,22.83,29.32,25.82,30.19,True,Mid-range,0.85
3,Algeria,26.87,4.59,16.43,28.82,14.48,24.63,True,Budget,0.917
4,Argentina,34.69,7.71,22.04,28.17,33.32,30.72,True,Budget,0.886
5,Armenia,33.89,11.61,23.45,27.59,30.55,28.86,True,Budget,0.852
6,Australia,77.75,36.84,58.57,77.44,72.95,104.63,True,Expensive,1.346
7,Austria,71.04,27.13,50.46,65.88,66.03,77.25,True,Expensive,1.087
8,Azerbaijan,29.73,7.86,19.48,26.57,26.73,27.26,True,Budget,0.917
9,Bahamas,84.0,35.34,61.19,70.59,89.09,45.07,True,Expensive,0.537
10,Bahrain,54.77,29.22,42.79,44.59,48.94,61.41,True,Mid-range,1.121
11,Bangladesh,33.13,4.42,19.67,30.41,21.7,25.3,True,Budget,0.764
12,Barbados,92.37,21.99,59.38,87.81,78.18,32.08,True,Premium,0.347
13,Belarus,30.89,9.81,21.01,27.24,31.64,31.78,True,Budget,1.029
14,Belgium,72.61,25.79,50.67,63.32,78.63,79.72,True,Expensive,1.098
15,Belize,51.3,11.64,32.71,48.76,36.6,45.73,True,Mid-range,0.891
16,Bermuda,146.04,98.58,123.8,148.66,159.17,81.07,True,Premium,0.555
17,Bolivia,34.77,10.18,23.24,31.26,24.97,36.04,True,Budget,1.037
18,Bosnia And Herzegovina,36.12,6.82,22.39,31.14,25.34,44.1,True,Mid-range,1.221
19,Botswana,40.17,10.21,26.12,35.16,42.5,62.63,True,Mid-range,1.559
20,Brazil,33.24,8.27,21.54,28.16,25.24,27.85,True,Budget,0.838
21,Bulgaria,38.38,9.07,24.64,34.02,32.44,45.96,True,Mid-range,1.197
22,Cambodia,49.11,15.68,33.44,50.61,22.9,13.32,True,Mid-range,0.271
23,Cameroon,39.48,6.91,24.22,40.41,26.33,15.37,True,Mid-range,0.389
24,Canada,70.22,34.33,53.4,70.01,67.86,87.98,True,Expensive,1.253
25,Chile,43.9,13.51,29.66,38.87,43.26,33.27,True,Mid-range,0.758
26,China,41.77,16.53,29.93,46.01,28.37,59.99,True,Mid-range,1.436
27,Colombia,26.72,8.18,18.03,23.47,19.44,28.85,True,Budget,1.08
28,Costa Rica,47.01,14.7,31.87,45.54,41.69,39.88,True,Mid-range,0.848
29,Croatia,48.94,13.38,32.27,41.98,41.29,47.55,True,Mid-range,0.972
30,Cuba,55.0,15.23,36.36,47.93,33.54,1.45,True,Mid-range,0.026
31,Cyprus,59.03,22.36,41.84,49.2,61.15,57.31,True,Mid-range,0.971
32,Czech Republic,48.24,18.4,34.25,42.76,36.72,66.47,True,Mid-range,1.378
33,Denmark,84.12,33.23,60.26,68.6,98.75,99.45,True,Expensive,1.182
34,Dominican Republic,41.77,9.59,26.68,38.45,34.3,21.07,True,Mid-range,0.504
35,Ecuador,37.34,11.28,25.12,34.49,28.55,31.76,True,Mid-range,0.851
36,Egypt,29.52,5.82,18.41,27.42,23.42,21.54,True,Budget,0.73
37,El Salvador,44.37,13.19,29.75,44.32,35.47,21.17,True,Mid-range,0.477
38,Estonia,53.68,16.37,36.19,42.29,56.43,63.46,True,Mid-range,1.182
39,Ethiopia,47.49,16.88,33.14,36.68,18.03,10.15,True,Mid-range,0.214
40,Fiji,43.16,17.76,31.26,48.06,37.42,35.87,True,Mid-range,0.831
41,Finland,73.2,25.95,51.05,65.16,77.65,91.02,True,Expensive,1.243
42,France,74.13,25.33,51.26,73.64,71.84,85.41,True,Expensive,1.152
43,Georgia,30.18,9.26,20.37,26.44,27.88,31.15,True,Budget,1.032
