user_id,persona,age,gender,nationality,home_country,income_tier,trips_per_year,avg_trip_days,typical_daily_budget_usd,typical_trip_budget_usd,preferred_accommodation,preferred_companion,transport_preference,avg_booking_advance_days,climate_preference,activity_tags,pref_adventure,pref_culture,pref_beach,pref_nightlife,pref_luxury,pref_family_friendly,pref_nature,pref_food,pref_safety,pref_digital_nomad,pref_instagram_worthy,pref_value_for_money,n_countries_visited,cities_visited_count,cities_visited,wishlist_count,wishlist,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13
U00001,Family Vacationer,43,Male,American,USA,30-70k,1,17,174.0,2958.0,Hostel,Mixed group,Trains preferred,30,Mediterranean/Warm,beaches|food_tours|museums|photography,0.201,0.638,0.917,0.114,0.29,0.825,0.925,0.754,0.281,0.015,0.481,0.583,11,13,Pittsburgh|Washington|Belize City|Verona|Baltimore|Cork|San Sebastián|Nuwara Eliya|Porto|Lusaka|Copenhagen|Nantes|Ushuaia,8,Kuching|Athens|Bologna|Gdansk|Malaga|Aswan|Meknes|Bled,0.201,0.638,0.917,0.114,0.29,0.825,0.925,0.754,0.281,0.015,0.481,0.583,0.348,0.2833333333333333
U00002,Budget Backpacker,22,Female,German,Germany,30-70k,1,23,22.0,506.0,Airbnb/VRBO,Solo,Road trips,90,Tropical/Hot,food_tours|hiking|photography,1.0,0.516,0.502,0.583,0.0,0.026,0.462,0.436,0.357,0.077,0.747,0.851,7,8,Atlanta|Phoenix|Port Louis|Bratislava|Raja Ampat|Naples|Panama City|Córdoba,6,Hamilton Island|Santa Cruz|Fort Lauderdale|Cuenca|Lviv|Casablanca,1.0,0.516,0.502,0.583,0.0,0.026,0.462,0.436,0.357,0.077,0.747,0.851,0.044,0.38333333333333336
U00003,Weekend Tripper,32,Male,German,Germany,150k+,5,2,207.0,414.0,Resort,Family,Road trips,180,Temperate/Mild,art_galleries|food_tours|historical_sites|live_music|local_markets|photography|temples,0.274,0.683,0.204,0.562,0.363,0.472,0.316,1.0,0.839,0.178,0.506,0.47,10,14,Orlando|Panama City|St. Louis|Berlin|Stockholm|Vilnius|Puebla|Lautoka|Seattle|Dakar|La Paz|Las Vegas|Hanoi|Houston,5,Cairo|Nafplio|Kraków|Piran|Granada,0.274,0.683,0.204,0.562,0.363,0.472,0.316,1.0,0.839,0.178,0.506,0.47,0.414,0.03333333333333333
U00004,Family Vacationer,35,Male,Spanish,Spain,30-70k,1,11,181.0,1991.0,Mid-range Hotel,Friends,Flights only,14,Mediterranean/Warm,beaches|historical_sites|shopping|water_sports|wildlife,0.619,0.379,0.859,0.039,0.461,1.0,0.502,0.792,0.463,0.546,0.168,0.272,2,2,Rosario|Tirana,10,Suva|San Sebastián|New York City|Paramaribo|Brussels|Malé|Rostock|Svalbard|Port Douglas|Bocas del Toro,0.619,0.379,0.859,0.039,0.461,1.0,0.502,0.792,0.463,0.546,0.168,0.272,0.362,0.18333333333333332
U00005,Digital Nomad,40,Male,German,Germany,70-150k,7,46,88.0,4048.0,Airbnb/VRBO,Solo,Trains preferred,14,Mediterranean/Warm,historical_sites|live_music|local_markets|nightlife|volunteering,0.348,0.368,0.284,0.785,0.019,0.151,0.513,0.838,0.66,0.651,0.023,0.784,1,1,Paramaribo,4,Nicosia|Malaga|Lucca|Odessa,0.348,0.368,0.284,0.785,0.019,0.151,0.513,0.838,0.66,0.651,0.023,0.784,0.176,0.7666666666666667
U00006,Adventure Seeker,27,Female,American,USA,<30k,2,18,71.0,1278.0,Budget Hotel,Friends,Any,7,Tropical/Hot,cycling|local_markets|skiing|temples|wildlife,0.962,0.404,0.092,0.476,0.009,0.0,0.957,0.639,0.169,0.431,0.844,1.0,1,1,Dubrovnik,3,Austin|Memphis|Kairouan,0.962,0.404,0.092,0.476,0.009,0.0,0.957,0.639,0.169,0.431,0.844,1.0,0.142,0.3
U00007,Family Vacationer,47,Male,American,USA,70-150k,1,7,201.0,1407.0,Mid-range Hotel,Friends,Road trips,30,Tropical/Hot,beaches|hiking|wildlife,0.784,0.404,0.595,0.294,0.253,0.968,0.46,0.839,0.504,0.11,0.408,0.69,1,1,Rabat,3,Prague|Vilamoura|Tromsø,0.784,0.404,0.595,0.294,0.253,0.968,0.46,0.839,0.504,0.11,0.408,0.69,0.402,0.11666666666666667
U00008,Family Vacationer,30,Female,Indian,India,<30k,2,7,176.0,1232.0,Hostel,Friends,Flights only,90,Tropical/Hot,art_galleries|food_tours|historical_sites|local_markets|museums|photography|temples,0.514,0.719,0.556,0.014,0.109,1.0,0.325,0.635,0.079,0.153,0.812,0.686,6,7,Menorca|Lautoka|Sibiu|Hamburg|Leipzig|Dunedin|Paris,5,Montego Bay|Vilamoura|Great Barrier Reef|Salta|Calgary,0.514,0.719,0.556,0.014,0.109,1.0,0.325,0.635,0.079,0.153,0.812,0.686,0.352,0.11666666666666667
U00009,Digital Nomad,29,Female,German,Germany,70-150k,7,17,75.0,1275.0,Luxury Hotel,Solo,Any,14,Mediterranean/Warm,architecture|hiking|museums|nightlife|temples,0.465,0.641,0.302,0.692,0.0,0.041,0.537,0.898,0.676,0.499,0.599,1.0,18,21,Antalya|Salento|Quito|Salta|Lusaka|Skopje|Fès|Hualien|Montreal|Harare|Kota Kinabalu|Portland|Manila|Kraków|Da Lat|Chefchaouen|New York|Annecy|Aswan|Cairo|San Pedro de Atacama,10,Ayers Rock|Christchurch|Isle of Skye|Aarhus|Vancouver|Bogotá|Helsinki|Charlottetown|Siem Reap|Tartu,0.465,0.641,0.302,0.692,0.0,0.041,0.537,0.898,0.676,0.499,0.599,1.0,0.15,0.2833333333333333
U00010,Luxury Traveler,41,Female,Dutch,Netherlands,70-150k,6,7,630.0,4410.0,Mid-range Hotel,Partner,Any,14,Any/Flexible,food_tours|historical_sites|nightlife|wine_tasting,0.047,0.515,0.546,0.502,1.0,0.096,0.438,0.91,0.603,0.017,0.328,0.0,4,5,Suva|Yellowstone National Park|Buenos Aires|Uluru|Washington DC,9,Zanzibar Town|Eindhoven|Glasgow|La Paz|Moscow|Honolulu|Kampala|Cappadocia|San José,0.047,0.515,0.546,0.502,1.0,0.096,0.438,0.91,0.603,0.017,0.328,0.0,1.26,0.11666666666666667
