id,city,country,region,short_description,latitude_x,longitude_x,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,ideal_weekend,ideal_short_trip,ideal_one_week,ideal_long_trip,composite_score,city_country,station_id,latitude_y,longitude_y,meteo_avg_temp_c,meteo_min_temp_c,meteo_max_temp_c,meteo_extreme_min_c,meteo_extreme_max_c,meteo_annual_precip_mm,meteo_avg_pres_hpa,meteo_total_sun_h,meteo_avg_daily_sun_h,meteo_avg_comfort,meteo_best_comfort,meteo_wet_months,meteo_cold_months,meteo_hot_months,meteo_years_of_data,meteo_data_coverage_pct,meteo_best_comfort_month,wtc_warmest_month,image_count,avg_text_quality,avg_colorfulness,avg_brightness,avg_contrast,avg_sharpness,avg_attractiveness,image_score,col_rank,col_cost_of_living_index,col_rent_index,col_cost_plus_rent_index,col_groceries_index,col_restaurant_index,col_purchasing_power_index,col_affordability_tier,col_value_score,col_has_complete_indices,climate_avg_temp_c,climate_source,wtc_composite,master_travel_score,climate_zone,data_sources,source_count,rank_overall
2f634211-0161-41dc-b871-3d405b1b3975,Lisbon,Portugal,europe,"Hillside streets alive with music, pastel-colored buildings, sunlit plazas, and the scent of fresh pastries give this city an irresistible warmth.",38.7077507,-9.1365919,Mid-range,5,3,3,3,4,5,3,4,2,True,True,True,False,3.56,Portugal,8535,38.7167,-9.15,17.42,6.7,31.6,1.2,42.0,10204.4,1017.94,31243.0,7.95,9.12,10.0,83.0,0.0,0.0,14.0,100.0,4.0,8,1.0,6.0,55.786,137.941,77.988,664.307,5.957,100.0,100,47.94,20.73,35.19,39.01,40.26,46.8,Mid-range,0.976,True,17.42,meteostat,3.5555555555555554,0.8296,Warm/Mediterranean,climate|visual|cost|wtc_ratings,4,1
8221d5a5-e813-4993-9bf6-c2bac26d0cb8,Rio de Janeiro,Brazil,south_america,"Vibrant streets pulse with samba rhythms, stunning beaches meet lush mountains, and every corner offers a burst of color and life.",-22.9110137,-43.2093727,Mid-range,4,4,5,5,5,4,3,4,2,False,True,True,False,4.0,Brazil,83755,-22.9,-43.1667,24.38,16.8,34.0,13.3,38.0,1391.0,1015.05,0.0,,9.17,10.0,9.0,0.0,4.0,9.0,100.0,8.0,1,1.0,3.0,31.448,107.246,64.327,562.512,3.72,34.8,20,33.24,8.27,21.54,28.16,25.24,27.85,Budget,0.838,True,24.38,meteostat,4.0,0.8072,Tropical/Hot,climate|visual|cost|wtc_ratings,4,2
5c470d58-5ad9-4aaa-903b-fa9a2bed3c68,Dubai,United Arab Emirates,middle_east,"Skyscrapers glisten under the sun, luxury blends with tradition, and the aroma of spices fills the air, creating a uniquely vibrant experience.",25.07428235,55.18853865430702,Luxury,4,4,2,4,5,4,5,5,2,False,True,True,False,3.89,United Arab Emirates,OMDM0,25.0268,55.3662,28.07,12.2,44.7,9.6,47.6,129.9,1008.08,0.0,,7.85,9.94,14.0,0.0,31.0,6.0,100.0,3.0,7,2.0,3.5,102.741,133.749,57.24,606.22,4.912,69.6,130,58.33,43.28,51.28,46.67,61.53,92.17,Mid-range,1.58,True,28.07,meteostat,3.888888888888889,0.7812,Tropical/Hot,climate|visual|cost|wtc_ratings,4,3
0c2f27fb-d5ed-4047-a16e-05fb872fe7b3,Macau,China,asia,"A unique blend of Portuguese heritage and vibrant Chinese culture, with bustling streets, aromatic food stalls, and dazzling casino lights.",22.1757605,113.5514142,Mid-range,4,3,2,2,5,4,3,5,2,True,True,True,False,3.33,China,45011,22.1667,113.5667,22.85,8.9,32.7,1.6,38.0,26809.0,1013.09,22990.0,4.86,9.03,10.0,83.0,0.0,30.0,14.0,100.0,10.0,7,2.0,5.5,53.804,109.188,75.25,710.77,5.522,87.3,26,41.77,16.53,29.93,46.01,28.37,59.99,Mid-range,1.436,True,22.85,meteostat,3.3333333333333335,0.7758,Warm/Mediterranean,climate|visual|cost|wtc_ratings,4,4
2e1f1b6c-cf05-4393-b747-151592f27e7a,Cancun,Mexico,north_america,"Powdery white sand beaches, turquoise waters, and lively nightlife create a vibrant atmosphere perfect for both relaxation and adventure.",21.1527467,-86.8425761,Mid-range,3,4,3,5,5,4,4,3,2,True,True,True,False,3.67,Mexico,76595,21.0333,-87.4167,26.41,18.6,32.7,12.0,39.0,1589.6,1015.1,0.0,,8.58,9.94,9.0,0.0,23.0,7.0,100.0,1.0,7,6.0,4.667,43.293,106.189,60.828,616.789,4.338,52.8,79,35.35,12.55,24.66,34.82,32.67,38.62,Mid-range,1.093,True,26.41,meteostat,3.6666666666666665,0.7688,Tropical/Hot,climate|visual|cost|wtc_ratings,4,5
2f3a6926-553f-4d7a-acf8-5b17af6f2e93,Colombo,Sri Lanka,asia,"Lively streets filled with the aroma of spices, historic temples, and a coastal breeze create a vibrant and welcoming atmosphere.",6.9388614,79.8542005,Budget,4,3,3,3,3,4,3,4,2,True,True,True,False,3.22,Sri Lanka,43466,6.9,79.8667,28.12,22.8,33.3,18.2,36.1,35752.0,1009.59,31137.0,6.83,8.87,10.0,84.0,0.0,90.0,14.0,100.0,2.0,4,1.0,5.0,91.39,151.039,58.333,242.349,5.047,73.5,117,31.29,8.23,20.48,37.67,17.27,19.27,Budget,0.616,True,28.12,meteostat,3.2222222222222223,0.7463,Tropical/Hot,climate|visual|cost|wtc_ratings,4,6
37247be1-606e-4142-a129-bf5d3efbd197,Istanbul,Turkey,europe,"A captivating blend of East and West, with vibrant bazaars, aromatic spices, historic mosques, and the serene Bosphorus weaving through daily life.",41.006381,28.9758715,Mid-range,5,3,3,2,4,5,3,5,2,False,True,True,True,3.56,Turkey,17062,40.9667,29.0833,15.94,0.3,33.0,-4.9,36.8,2647.5,1015.54,8140.0,6.84,8.32,10.0,24.0,15.0,0.0,4.0,100.0,5.0,8,4.0,5.0,50.015,138.807,53.36,321.431,4.104,46.0,127,28.31,6.63,18.15,22.64,18.4,32.88,Budget,1.161,True,15.94,meteostat,3.5555555555555554,0.7445,Temperate,climate|visual|cost|wtc_ratings,4,7
623961cc-5553-4afa-842e-4af31b2a305c,Mumbai,India,asia,"A bustling metropolis where vibrant street life, aromatic food stalls, and historic landmarks blend with a dynamic energy that never sleeps.",19.054999,72.8692035,Mid-range,5,3,2,3,4,5,3,5,1,False,True,True,False,3.44,India,43003,19.1167,72.85,28.29,17.4,35.5,12.0,41.0,25651.8,1008.75,0.0,,7.0,9.28,22.0,0.0,64.0,14.0,100.0,1.0,5,1.0,4.0,64.437,102.733,59.796,710.054,4.491,57.3,53,24.43,5.3,15.47,26.43,17.56,49.72,Budget,2.035,True,28.29,meteostat,3.4444444444444446,0.729,Tropical/Hot,climate|visual|cost|wtc_ratings,4,8
7aed9c1b-6faa-4177-aea9-2c32c6ca34f9,Florianópolis,Brazil,south_america,"A blend of vibrant beaches, lush greenery, and lively markets creates a laid-back yet energetic vibe perfect for unwinding and exploring.",-27.5973002,-48.5496098,Mid-range,3,4,5,5,4,4,3,4,3,True,True,True,False,3.89,Brazil,83897,-27.5833,-48.5667,21.56,10.7,32.5,2.6,40.0,17153.0,1015.62,17781.0,5.58,9.66,10.0,60.0,0.0,0.0,11.0,91.0,4.0,1,,,,,,,,,20,33.24,8.27,21.54,28.16,25.24,27.85,Budget,0.838,True,21.56,meteostat,3.888888888888889,0.7279,Warm/Mediterranean,climate|cost|wtc_ratings,3,9
40236b15-2f9a-482a-8454-72ebd9dfed1b,Santa Marta,Colombia,south_america,"Golden beaches meet lush mountains, creating a laid-back vibe where you can savor fresh seafood and vibrant sunsets by the sea.",11.2320944,-74.1950916,Budget,4,4,5,4,3,4,3,3,4,True,True,True,False,3.78,Colombia,80009,11.1333,-74.2333,28.98,21.8,35.5,19.8,38.6,8663.0,1009.84,35137.0,7.55,9.57,10.0,83.0,0.0,144.0,14.0,96.4,1.0,5,,,,,,,,,27,26.72,8.18,18.03,23.47,19.44,28.85,Budget,1.08,True,28.98,meteostat,3.7777777777777777,0.7196,Tropical/Hot,climate|cost|wtc_ratings,3,10
784d64bc-ad12-4648-8094-07151548001d,Vienna,Austria,europe,"Grand architecture and cobblestone streets set a charming backdrop for cozy coffeehouses and vibrant cultural scenes, inviting leisurely exploration.",48.2083537,16.3725042,Mid-range,5,2,3,1,4,5,4,5,2,True,True,True,False,3.44,Austria,11035,48.25,16.3667,11.62,-5.1,30.2,-15.0,38.5,9313.0,1016.78,29238.0,5.71,7.71,10.0,81.0,76.0,0.0,14.0,100.0,6.0,7,1.0,4.0,122.555,132.024,55.094,992.068,5.621,90.2,7,71.04,27.13,50.46,65.88,66.03,77.25,Expensive,1.087,True,11.62,meteostat,3.4444444444444446,0.7166,Temperate,climate|visual|cost|wtc_ratings,4,11
59358844-732e-44cc-8fc8-fd7266474a8f,Mexico City,Mexico,north_america,"Vibrant streets teeming with life, colorful markets, and the aroma of street food create an eclectic and exhilarating urban experience.",19.3207722,-99.1514677512441,Mid-range,5,3,3,1,5,5,3,5,2,False,True,True,True,3.56,,,,,,,,,,,,,,,,,,,,,,4,1.0,7.0,53.058,76.945,57.445,615.437,4.984,71.6,79,35.35,12.55,24.66,34.82,32.67,38.62,Mid-range,1.093,True,,meteostat,3.5555555555555554,0.7154,Unknown,visual|cost|wtc_ratings,3,12
a7573be8-bfc0-479c-9baa-7d824d1f9315,Honolulu,United States,oceania,"Golden beaches meet vibrant city life, where the scent of plumeria and the sounds of ukulele create a laid-back, tropical vibe.",21.304547,-157.855676,Luxury,4,4,5,5,4,4,4,4,2,False,True,True,True,4.0,United States,91182,21.3333,-157.95,25.69,18.2,32.8,13.9,35.0,5889.8,1016.33,0.0,,8.72,9.73,83.0,0.0,11.0,14.0,100.0,1.0,8,1.0,3.0,37.974,156.552,61.433,329.205,3.531,29.3,132,70.13,42.07,56.98,70.37,70.07,106.34,Expensive,1.516,True,25.69,meteostat,4.0,0.714,Tropical/Hot,climate|visual|cost|wtc_ratings,4,13
